SOC Code,SOC Title
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers
47-2073,Operating Engineers and Other Construction Equipment Operators
47-2111,Electricians
47-2152,"Plumbers, Pipefitters, and Steamfitters"
47-4090,Miscellaneous Construction and Related Workers
47-5011,"Derrick Operators, Oil and Gas"
47-5012,"Rotary Drill Operators, Oil and Gas"
47-5013,"Service Unit Operators, Oil, Gas, and Mining"
47-5071,"Roustabouts, Oil and Gas"
47-5081,Helpers--Extraction Workers
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers"
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door"
49-9041,Industrial Machinery Mechanics
49-9071,"Maintenance and Repair Workers, General"
51-1011,First-Line Supervisors of Production and Operating Workers
51-4041,Machinists
51-4121,"Welders, Cutters, Solderers, and Brazers"
51-8013,Power Plant Operators
51-8091,Chemical Plant and System Operators
51-8092,Gas Plant Operators
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
51-9011,Chemical Equipment Operators and Tenders
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
51-9111,Packaging and Filling Machine Operators and Tenders
51-9198,Helpers--Production Workers
51-9199,"Production Workers, All Other"
53-1047,Aircraft Cargo Handling Supervisors
53-3032,Heavy and Tractor-Trailer Truck Drivers
53-7051,Industrial Truck and Tractor Operators
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand"
53-7065,"Packers and Packagers, Hand"
53-7073,Wellhead Pumpers
53-7121,Refuse and Recyclable Material Collectors